review,rating
"This was my first order. I ordered Luckhnowi Petoo Box, one Hydrabadi Biryani and half KG Gulab Jamoon. I must say that it was one of the best food experience i had, those i ordered through online.",5.0
"I ordered from Petoo today and i must say the service was really good. I gave home delivery and the order reached in just 15 mins. Ordered a non-veg thali and the food was just yummy along with the Dahi vada and Gulab Jamun. Really a good experience and wish to order again. The rate that they have put is worth the items which they have provided. In respect of taste, delivery, presentation and service they have done full justice to the order. I appreciate it.",4.5
I ordered Gulab Jamun yesterday. It was delicious. Can order again and again. They need to get delivery boys hired by them-self as currently they are using third party for delivery. Who are actually not customer friendly.,4.0
yesterday i placed order from petoo for patiyala petoo box and kala jamun taste was awsome and kala jamun was yummyy i like their kala jamun and food was fresh hot and more important thing food is not more oily and spicy so nice for health also so nice service and tasty food please keep it up petoo,4.5
Pretty Good food. Worth a try. The quality of food and delivery is worth mentioning. I would definitely recommend others to give this a try.,4.0
".Ordered 3 items, packing is decent, delivery time was average. The taste of the food was okay!!! Quantity is not worth the money. I felt like they were short of food and had to cover up. Any ways for sure give it another try with them after sending them a personal feedback on this. Overall experience was good.",3.5
i placed order from petoo i got my order within 30 mis and food was tasty and hot i like to their packaging and kashmiri was aw awesome taste,5.0
It delivered in less than 30min. Quality of the food is good. As they claimed no need extra plates and spoons to eat. It is value for money.,4.5
Awesome biryani and kebabs,5.0
The food was ok.but the price is very high..packing and delivery were good..it would be better if they add more items in the menu...drinks are sold out which is disappointing...,3.0
i placed order for amritsari petoo box from petoo i got my order within 30 mins and taste was awesome and delivery boy behavior also nice,5.0
petoo fod was awsome when m feeling hungry i have order the petoo box and food taste is good and that combination is supper all food have come with dessrt that y i like somuch of petoo food..............,4.0
"I ordered home delivery of Kashmiri Petoo Box, Awadhi Petoo Box and Murg Platter for Rs 650. It was delivered in less than 45 minutes. Each box was more than sufficient for one person. Each box came with some curd/pakoda and gulabjamun and tissue paper and plastic cutlery. The boxes were surely worth 220 Rs each. Chicken was all boneless and very soft. The best thing was that spice level was perfect for my preference. Rice was a bit tough compared to what we cook at home, but at par with regular restaurants.",5.0
The quality of food and delivery is worth mentioning. I would definitely recommend others to give this a try.Delivery time was also decent and i would like to reorder some other dishes,5.0
Food was delivered on time. Briyani (Andhra style) is very tasty. The team was regularly updating me on the status. Gulab Jamoon came along with briyani is also .very tasty.,5.0
the food was awesome and reached on time,5.0
It was very easy to order. - 5/5,4.0
gud but quantity was less try to improve more quantity .then it will be fine paying more getting less improve in quantity...............................,2.0
"Food quality, packing, and delivery was just fine. However, food does not justify its prices. Can be tried once in a while for lunch/dinner.",3.5
I had ordered from petoo today and this was my first order with them. Food was excellent . Delivery time was also very good. I would like to order more from petoo.,5.0
"The packaging was very good. The delivery was perfect. Price is very, very  reasonable. The taste is good, but can improve. Overall, a great experience.",4.5
The process of ordering food and having it delivered was hassle free. The food was well packed. The quantity and quality was good. The pricing was affordable. I am giving them a 5 rating because they have done a good job to ensure that all aspects of this order were completed to my satisfaction.,5.0
"I order Awadhi Petoo Box today, It is delivered on time with good packing, nice quality and Awesome taste . I want to order more time tomorrow.",5.0
Food is sad....order only if you have no other option left out and you are dying coz you hungry....the only thing I liked was gulab jammun.... Non-veg plater is 220 should not be priced more than 50 once you taste it....,2.0
Great food. Prices reasonable. After coupon it's the cheapest and best good you can get. Really impress with their work. My lunch comes from petoo every day.,5.0
Jus loved the quality of the food.....and the way it was packed....i dont order food online much.... But petoo is worth giving a try..........,4.5
Made my first order in petoo today. I had ordered peshawari petoo box(Peas corn pulav +  boneless chicken gravy) and gulab jamoom. The order was delivered promptly and the food was delicious.,4.0
The quality of food and delivery is worth mentioning. It was a fantastic experience and I surely will be ordering from them a lot more. cheers!,5.0
Good Menu.. I've always ordered for home delivery and there packaging. the combination of meal is good.,4.0
"Since it was my first order at Petoo so got superb deal at awesome price. received the food in good packaging, food was hot and tasty. if exclude the offer price then pricewise it's average.",4.5
"I ordered a Lucknow petoo box today.The food was delivered on time .The food was super fresh ,nicely packaged and taste was good.",4.5
We had ordered Awadhi and Amritsari Petoo Box  first time. Though it took more than 60 minutes to deliver but the food was tasty except Dahi bhalla.,4.0
It is first time we order food online. We were not sure if food is good. But petoo food was good. It was fresh and warm. The deliver was very fast.,4.0
Jus got it home delivered today. I have never rated a restaurant below 3 I believe because I assess based on several criteria. Petoo is definitely below par in quality and taste. For the price that they have put up it does not do justice at all. Highly worthless. I had 3 items delivered. Hyderabadi Paneer biriyani. Non veg platter. Hyderabadi chicken biriyani.. All of them were equally bad. They must be having a poor chef! They have requested me to rate them in zomato too! I pity them. Guys don't even try choosing them even if they give u for free!,1.0
The taste and the freshness packed inside the petoo box is simply delicious. The quality of food and delivery is worth mentioning. I would definitely recommend others to give this a try.,5.0
"I had ordered food from Petoo via FoodPanda. The Packing and Taste of the food was Awesome especially the Gulab Jamun..Just ""WoW"".The Package was delivered within 25 mins. I have deducted 0.5 star just bcoz i got the delivery message 5 mins prior to actual delivery ,else the service was perfect.",4.5
"Ordered  Petoo for the first time. The food was delivered  on time. It was delightful and tasty , specially the rasgullas. It was overall a nice experience  :)",4.5
Packaging was very good and food quality too..but only thing is it took some long time for delivery...so please delivery it soon otherwise it's good service.,4.0
Had ordered from petoo for the first time. It was a good experience. Food was good and delivery was fast. Will surely order again from this place,4.5
Awesome chicken platter and patiala combo box.,4.5
"I have ordered Biryani, Murg Platter, and Peshawari Petoo Box..Biryani is good.. Platter is not that good..... But the delivery is so quick and i suggest this to my friends.... Pulao is too good in Peshawari Box.",3.0
1) Food was cooked properly and tasty,4.5
Food is great... nice/neat packing Quantity is slightly less for the price,4.0
Great food with Best price. One of the best for North Indians. I m loving it..  :-) :-) :-) :-D :-D :-D :-D :-D :-D :-D :-D :-D :-D :-D :-D..,5.0
Food quality is very good. Delivery is on time. But quantity is very less compared to other restaurants .....................................,4.0
"I had ordered from petoo today and this was my first order with them. Food was Excellent with BIG PIECES of Chicken in ANDRA BRIYANI, only thing which could have been good\better was the Raita(CURDS) and curry given,",4.0
I ordered food yesterday from petoo. I liked the packing and on time delivery. Food is yummy. And you also get Hajmola for digestion. I would surely order again and again.,4.0
"I liked the delivery time, the packaging, and also the fact that the food was hot. Usually home delivery services take a hit may be because of the number of orders and therefore you always end up getting cold food.",3.5
Food was really good. This is my first order in petto got a coupon which is really good.Bengali Dish was really good and authentic.,4.5
"Quality of food and the service have been really commendable. Decent taste , though the quantity is not worth what they are charging. Overall experience  pleasant. Have recommended to a number of peoples and will continue to do so gladly. Keep up the good work.",4.5
I am rating this restaurant 5/5,5.0
"Delicious food, nicely packed and Great customer service. Had nice experience with petoo service and status tasty food. Would Like use this service more.",5.0
HI!!!Great customer service by Petoo. Also very Nice Dish's supplying..Please keep it up.I can recommend this to friends and with the refer option its a 4.5/5 rating,4.5
Well what should i say the food is delicious and reminds me of good tyms whenevr i book from them.ontime delivered food.good customer support.,5.0
"This is first order at Petoo. Food was excellent. Delivery time was also on time, as expected. I got a good taste of Hyderabadi Biriyani after a long time at bangalore. Overall quality was good.",4.5
very delicious food and i like gulab jamun taste and content of it.bt dahi laddu was little bad bcz of travelling and rest of all vey fine............luv it,5.0
"Till now I've tried Kashmiri Petoo box and Peshawari Petoo box, both of these were delivered to me quickly. The food was good and the packing was excellent.Would love to order again.To my delight, the Gulab Jamun was amazing.",4.5
Amazing food and service.. love the food from Petoo. love the service. The packing is perfect. I would recommend it to everybody i know..,5.0
"Awesome food experience I had today , The delivery time is also fast & food quality is the best in class.",5.0
Food quality is pretty good. In veg Amristari petoo box being my favorite.,4.0
I had ordered from petoo today. Food was excellent. but Dahi bhalla was not good. Delivery time was good.But overall it was a fantastic experience and I surely will be ordering from them a lot more,3.5
Great food with quick delivery.Bit overpriced but food quality is amazing.,4.0
"Quick delivery, nice food with decent amount of varieties and combinations. Liked the softness of gulab jamun.. excellent services .keep up.",5.0
Good food quality and gulab jamun from petoo. The chicken biryani tasted very yummy and the raitha was really good in taste. The order delivery was also very fast.,5.0
Today I have ordered from Petoo. food was really good and fresh. Delivery is also good. Best of luck to them for their good services. Packing is also nice,5.0
I had ordered for the first time from petoo today.The quality of packing was nice and the taste of food  was also great.The food was delivered in a quick time.Only problem was that while ordering i was not given any option to give my complete address.Overall it was a good experience.,4.5
"I like their packing style and the quantity of food they provide. Food tastes descent and their food authenticity in terms of taste, quality is delicious....Delivery time was also decent and i would like to reorder some other dishes.",5.0
"Delivery services is good, food is tasty, customer care service is good if they miss the call they will call back immediately.  Delivery boy very difficult to locate us and finally made this little hassle.",5.0
"I'd ordered peshawari chicken meal. It was too delicious, well cooked in mustard oil, and gravy was too yummy. The gulaam jamun served along with it was also good.",4.5
"I ordered amritsari pulao for the first time from petoo and i must say they have lived up to my expectation.The delivery time was spot on and the food was tasty,probably one the best that i have eaten via online delivery.",4.5
excellent service!!!!fast delivery!!!!perfect and delicious food!!!!!along with tasty jamoon !!!!at last a perfect packing !!!!!!SO 5 STAR*****,5.0
I have ordered three times from Petoo they are providing good quality food and also at reasonable price especially the awadhi box is to  awesome .,5.0
"I am a regular customer of petoo and the quality and the quantity of food is really awesome. They serve fresh cooked meals and the their delivery services are also very fast. All the Non veg petoo boxes are simply awesome, the best of all is Patiala petoo box. The gulab jamoons are absolutely delicious and the boxes are packed in an unique style.",4.5
I  ordered Kashmiri petoo box from petoo today and it was my first order. I like their packing style and the quality of food they provide. Quantity can be increased a bit. Delivery time was superb and i would like to reorder some other dishes. I would recommend to order once.  They provided me offer code for 1st time users which is not working. Seems it was only their advertising funda :),4.0
The worst food application one can ever use...I ordered the food at 1 pm and no one came with the food till 4...Rather they were making fool of us by saying that it will reach in 5 mins...They will make you pay first then you have no choice other than wait for the food to come.This company is a fraud don't go with them please...,1.0
Made a online order... Peshawari petoo box and Andhra biriyani box..,4.5
"I personally recommend Peeto for Online delivery.. they maintain very rich quality & Quantity with tasty regional foods & Peeto special boxes.  Andhra Special Chicken biryani is like class of taste (AP), especially Jamoons are delecious :) Overall it was a fantastic experience ordering in Petoo.",4.5
Avadhi Biryani is very tasty and delivery is prompt.Have tried 3-4 times for Avadhi.The taste is consistent cant say the same for Hyderabadi veg biryani .,5.0
"I ordered Jamoon, so tasty. I really  like it. Peeto You rockzzzz. packing in a container it was very beautiful to see and cleanly packed",5.0
Yesterday I have ordered Gulab jamun 500gms.,5.0
"Food was good, packing style is good, serves warm food ... Hats off to the delivery partners.. Gulab jamun ... Wow... Super delicious... With considering all the aspects, not that costly... Seriously happy with your service & tracking system...",5.0
Ordered a chicken biriyani combo with a chicken platter. The biriyani was great and a free jamun also was amazing! The chicken platter though could've been a bit better. But overall it was a fantastic experience and I surely will be ordering from them a lot more.,4.5
Iam impressed abt the way of packing... The food was also delicious as well as delivery is also  in time... Soo I'll go with 5/5 rating.....,5.0
Awsome quality of food. taste of the food is much better from the other place. It's taste like a home food. ts's delivery also on time.,4.5
We are ordering from past 6 months it's good. Good quantity good packing. Need more verities in hyderabadi styles. And also petoo samosa badusha laddu is very good for the snacks time.,4.5
"Good packing & good food.. what else to expect. Almost all the dishes I tried, they r good.. Moreover their service is well organized.. Keep up the good work",4.0
"Its a Scam ! I think they are brokers for some local restaurants. We ordered for our team last week at 11.30 and paid online via card. After 1.5 hrs, tried calling but thy never pickup. Then they called us back and said it will take them 20 more minutes. We waited another 30 minutes but to no avail. Again tried calling to their number to cancel the order but nobody picked up. Finally they called back at 2.30pm and said it will take another 40 minutes !!",1.0
Superb food and best service I've experienced in Bangalore. Quick yum and tasty food delivery as the name suggests. Must have the hyderabadi tikka biryani.,4.5
"Amazing food comes at reasonable price, Gulab Jamun is must try dish here. Though variety is very less but the quality is superb and delivery time always exceeds expectation....keep up the good job guys...",4.5
"Whenever I need a quick delivery and good quantity of food which is nicely and conveniently packed, I simply order it from Petoo. Although they have a limited menu, the food quality is pretty good. Have not tried the biryani but the Non veg platter and Pulao meals which come with veg or non veg gravy options are quite decent. The quantity and quality of rice which they give is very good. There have been times when I have ordered a few veg meals like amritsari paneer combo and it was extremely disappointing. But except that one time whatever I have ordered till now has been quite satisfactory. Really love the way the food is packaged and the good thing is that they have improved the packaging even more. Gulab jamuns are always awesome. But I throw away the dahi vada almost everytime! Its just not good enough. They really need to improve the quality of the dahi vada. But thats not a deal breaker for me. I will keep ordering from petoo whenever I need food quickly as long as they keep the quality and improve in areas where they are lacking.",4.0
Good food. Neat Packaging. Fast service.,4.0
"Have ordered online from Petoo (Koramangala 8th Block) several times and the food has been served hot with decent quantity and quality. The menu shown here is a bit different from the one available while ordering online though and I have ordered 3 out of 5 items on their main course menu and liked all of them. Also, on all occasions, food was delivered on time and there was a follow up call from them to check if everything was ok with the food.",4.0
Petoo has awesome delivery ...the taste of food was delicious ..I like the way of packing ...I would like to recommend it all my friends.....,4.5
"I have ordered Andhra Biriyani Petto Box. It was awesome biriyani having typical Hydrabadi flavour. The box was containing enough amount of chicken pieces, well cooked long rice, curd, gulabjamun, hajmola candy.",5.0
Nice food and best service I've experienced in Bangalore. Only one restriction here is they just few food items. They should start including more fooditems,4.5
"good online restaurant to place the order ,easly to track the order trough there website,good response from there team,the taste of peshwari,amritsari is is really very good",5.0
"I like their packing style and the serving food quantity. Food tastes delicious, surely going to crave your hunger upto an extent  and their food authenticity in terms of taste, quality is delicious. I ordered chk platter; when I received I was baffled and feeble after seeing the quantity. Those appetisers were mouthwatering delicious and had a different authentic quality.",3.5
Awesome food..Delicious..with awesome gulab jamoons and yes dahi bhalla...With best price...Fast delivery...Foodis shd try this resturant.,5.0
Food is not good I ordered paneer tikka and kebabs  it was spoiled .Its not spicy to eat but they packed well.,3.0
"The food was great, Taste was awesome , curd items sometimes spoils the best.",4.0
the food was amazing. i would recomend my friends to order from petoo. the food was delicious and hygenic.packing was extremely good and was delivered within time,5.0
"Gulab jamun -the best, it is was soft,tasty.",4.5
Packaging of food is very nice and its been delivered quickly and hot.,5.0
Nice food experience with quick delivery at the doorstep. I really like the taste of Gulab jamoon. everything is just too good for the price you pay. Taste is also very nice,4.5
"good food,simple to place the order,delivered in mins,as i order the food at 12:30,delivered at 12:50,good customer service ,totally awesome sservice",5.0
"great food, love the packaging, very hygenic, quick delivery. Peshawari chicken was too good. it was made of cashew nut and tomato gravy ,very rich and was traditional. it comes with 4-5 big boneless breast chicken pieces. great value for money. their corn peas pulav was also a great combination for the Peshawari Chicken. Petoo box also comes with Dahi Bhalla and Gulab Jamun.",5.0
The food taste packing is fantastic. and will recommend to every one..Food is nicely packed and delivered on time and the best part it is even good for a late dinner planned later in the night.,5.0
hyderabad biryani is good in taste and fast in delivery,4.0
4/5,3.5
"Great service ,good food and delivery in time.",4.5
I ordered the food in lunch it was so tasty that i couldn't resist ordering again for dinner . The food is extremely awesome very tasty and great value for money,5.0
"Good taste, best gulab jamoon i ever had. quick and best service experienced in Bangalore. Loved the food. would surely order again. great value for money.keep it up guys..",5.0
The petoo service is good,4.5
I had ordered twice from Petoo till now. Ans both times i was more than satisfied.Awesome food and prompt delivery. Will recommend Petoo to everyone.,5.0
"Food was very delicious, its always my first preference to order food online, i love every single combo in this.  Everyone should try this at least ones. Only one thing, want delivery in Whitefield also. :)",5.0
Good food good packing .  We have been ordering from past 1 year. You also get coupons to redeem and get your food for discounted price. They also take party orders.,4.0
"Superb food experience with quick delivery at the doorstep.A must try for all the foodies who want reasonable yet quality food in quick time,Must have the hyderabadi tikka biryani and murgh platter. Only one restriction here is they just serve rice items. They should start including roti combos as well.",5.0
Food is good especially biryani and platters are very good... i liked the packing... if u r travelling somewhere perfect place to order ur food....,5.0
"Loved the food, had ordered for the first time today. Delivery was pretty fast too ...",5.0
"The food which was given is good.but there should be some what improvement in curry,means as per taste.gulab jamoon is realy delicious.Overall I had been satisfied",3.5
"One factor which differentiates Petoo from other Restaurants is the ""Quality"". I have ordered multiple times with Petoo and I must say that food was very tasty. I am sure the ingredients used must be of a very good quality because of which the overall dish turns out to be awesome. I really didn't feel heavy in the stomach, which we generally feel after having hotel food, on all the occasions. Also the usage of oil is very optimum. Oily and rich food is something not liked by most health conscious people and food at Petoo meets the expectation in that regard. The service is also very good and fast and I received my order in around 30 min time. There are a few things which needs attention like:",4.5
"Fast delivery and excellent packaging, in addition to that taste and quality of food was awesome. Quantity is fairly good and the Gulab Jamun is too good. All in all the food leaves a long lasting impression.",5.0
"Great food, love the packaging, very hygenic, but delivery little bit late due to may be pick hrs(around 12:30 PM).",4.5
Awesome Food Quality and eye catching food packets. Very handy for Bachelor's during weekends. Hope you bring on some new plates apart from this.Hoping to have  good time ahead.,5.0
Food quality was good. Taste of the food and packing was good. Food was delivered hot and within the time limit. Taste of gulabjamun and curd was also as expected.,4.5
"It is very good, the food was so testy and awesome and also reviled on time.....my friends also enjoyed with me the testy food , nice the very good.",5.0
it is so good and the service is so good the packing and the taste is excelent and we get hot food to eat and the packing which you have delevered the food it is so small so that the curreys are droping down so pleace do packaing nicely,5.0
Gulab jamoon - the best in bangalore,4.0
very very bad. We ordered and waited for more than 2 hrs and we didnt get the food.,1.0
Awesome food and Taste and I loved every bite of it.  Received my Order with the required time. Nice packing and everything was good about the food and taste.,5.0
Love the gulab Jammu that you guys serve. I think its the best I have had so far..,5.0
Amazing food and best service I've experienced in Bangalore,4.5
Very Good experience and time taken is appreciative.,3.5
"Great food, love the packaging, very hygienic, quick delivery. we became a daily customer of this. Specially rice is really good.I liked the keswari chicken specially. Thank you and all the best.",5.0
